,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
200307,200308,8370021,40,5,single,rented,no,Technical_writer,Gulbarga,Karnataka,5,14,0
211814,211815,4915986,45,13,single,rented,yes,Technician,Alwar,Rajasthan,13,14,0
224829,224830,1118121,79,13,single,rented,no,Graphic_Designer,Siwan[32],Bihar,11,13,0
122645,122646,3438381,46,6,single,rented,no,Web_designer,Khandwa,Madhya_Pradesh,6,12,0
144414,144415,3842749,49,4,single,rented,yes,Hotel_Manager,Gangtok,Sikkim,4,12,0
237819,237820,2833207,23,11,single,rented,no,Web_designer,Panvel,Maharashtra,8,12,0
4199,4200,2278568,25,4,single,rented,no,Consultant,Unnao,Uttar_Pradesh,4,12,1
69403,69404,7578708,58,18,single,rented,yes,Surveyor,Gangtok,Sikkim,14,13,0
191434,191435,3700179,75,15,single,rented,no,Comedian,Hubliâ€“Dharwad,Karnataka,10,11,0
112298,112299,6830726,29,20,married,rented,yes,Secretary,Rajkot,Gujarat,3,14,0
225578,225579,9974670,58,10,married,rented,no,Scientist,Siwan[32],Bihar,9,14,0
143506,143507,3321237,53,20,single,rented,no,Civil_servant,Rajahmundry[19][20],Andhra_Pradesh,13,11,0
248501,248502,8450673,74,19,single,rented,yes,Architect,Korba,Chhattisgarh,13,12,0
179931,179932,4387681,49,0,single,rented,no,Official,Bulandshahr,Uttar_Pradesh,0,10,0
44785,44786,6488496,46,2,single,rented,no,Industrial_Engineer,Ongole,Andhra_Pradesh,2,10,0
85097,85098,6533070,43,16,single,rented,yes,Fashion_Designer,Nadiad,Gujarat,6,13,0
152263,152264,6996011,76,13,single,rented,no,Magistrate,Chandigarh_city,Chandigarh,13,14,0
38061,38062,7867670,60,19,single,rented,no,Biomedical_Engineer,Bhavnagar,Gujarat,12,13,0
181217,181218,2806082,76,10,single,owned,no,Army_officer,Hospet,Karnataka,10,14,0
168418,168419,9506126,30,12,single,owned,no,Economist,Mau,Uttar_Pradesh,12,13,0
238565,238566,5921148,65,6,single,rented,no,Technical_writer,Tinsukia,Assam,6,11,0
83289,83290,5787174,37,10,single,rented,no,Engineer,Coimbatore,Tamil_Nadu,3,11,0
196056,196057,354766,78,0,single,rented,no,Computer_hardware_engineer,Saharanpur,Uttar_Pradesh,0,10,0
